,input,mod,spp,accel_structure,render_time,intersections_per_ray
90,02_cornelbox,spatial-longest,32,0.0174,2581.4637000000002,2.676569599399677
91,02_cornelbox,spatial-longest,32,0.0166,2421.4025,2.676569599399677
92,02_cornelbox,spatial-longest,32,0.017,2475.5202999999997,2.676569599399677
93,02_cornelbox,spatial-longest,32,0.0166,2440.4461,2.676569599399677
94,02_cornelbox,spatial-longest,32,0.0177,2402.44,2.676569599399677
95,02_cornelbox,spatial-longest,32,0.016900000000000002,2470.27,2.676569599399677
96,02_cornelbox,spatial-longest,32,0.0207,2417.5917999999997,2.676569599399677
97,02_cornelbox,spatial-longest,32,0.0177,2444.9002,2.676569599399677
98,02_cornelbox,spatial-longest,32,0.0204,2474.3210000000004,2.676569599399677
99,02_cornelbox,spatial-longest,32,0.0172,2433.7918,2.676569599399677
100,02_cornelbox,spatial-random,32,0.0161,2315.6572,2.6229662301957988
101,02_cornelbox,spatial-random,32,0.0171,2367.1760000000004,2.6229662301957988
102,02_cornelbox,spatial-random,32,0.017900000000000003,2332.4132999999997,2.6229662301957988
103,02_cornelbox,spatial-random,32,0.0166,2294.6345,2.6229662301957988
104,02_cornelbox,spatial-random,32,0.0216,2319.9800999999998,2.6229662301957988
105,02_cornelbox,spatial-random,32,0.018600000000000002,2346.8393,2.6229662301957988
106,02_cornelbox,spatial-random,32,0.0159,2336.7273,2.6229662301957988
107,02_cornelbox,spatial-random,32,0.017,2317.2756,2.6229662301957988
108,02_cornelbox,spatial-random,32,0.0171,2312.5654,2.6229662301957988
109,02_cornelbox,spatial-random,32,0.0165,2329.6728,2.6229662301957988
110,02_cornelbox,spatial-robin,32,0.017,2424.6862,2.6229662301957988
111,02_cornelbox,spatial-robin,32,0.0166,2339.1868,2.6229662301957988
112,02_cornelbox,spatial-robin,32,0.0159,2309.0551,2.6229662301957988
113,02_cornelbox,spatial-robin,32,0.0167,2362.4438,2.6229662301957988
114,02_cornelbox,spatial-robin,32,0.0201,2279.4732999999997,2.6229662301957988
115,02_cornelbox,spatial-robin,32,0.0173,2313.0497,2.6229662301957988
116,02_cornelbox,spatial-robin,32,0.0165,2345.7496,2.6229662301957988
117,02_cornelbox,spatial-robin,32,0.016900000000000002,2289.6296,2.6229662301957988
118,02_cornelbox,spatial-robin,32,0.017,2293.0323000000003,2.6229662301957988
119,02_cornelbox,spatial-robin,32,0.0166,2283.5989,2.6229662301957988
120,02_cornelbox,median-longest,32,0.0173,2487.4271000000003,2.5613269774177847
121,02_cornelbox,median-longest,32,0.0171,2575.3092,2.5613269774177847
122,02_cornelbox,median-longest,32,0.0191,2615.6223,2.5613269774177847
123,02_cornelbox,median-longest,32,0.0191,2673.3051,2.5613269774177847
124,02_cornelbox,median-longest,32,0.0268,2703.3067,2.5613269774177847
125,02_cornelbox,median-longest,32,0.0189,3170.511,2.5613269774177847
126,02_cornelbox,median-longest,32,0.0184,3229.3661,2.5613269774177847
127,02_cornelbox,median-longest,32,0.019700000000000002,2933.0795,2.5613269774177847
128,02_cornelbox,median-longest,32,0.0178,2501.6861000000004,2.5613269774177847
129,02_cornelbox,median-longest,32,0.018199999999999997,2541.1800000000003,2.5613269774177847
130,02_cornelbox,median-random,32,0.019899999999999998,2485.78,2.5951065266586806
131,02_cornelbox,median-random,32,0.0192,2495.8712,2.5951065266586806
132,02_cornelbox,median-random,32,0.019,2518.0812,2.5951065266586806
