,input,mod,spp,count_accel,mean_accel,std_accel,min_accel,25%_accel,50%_accel,75%_accel,max_accel,count_render,mean_render,std_render,min_render,25%_render,50%_render,75%_render,max_render,count_ipr,mean_ipr,std_ipr,min_ipr,25%_ipr,50%_ipr,75%_ipr,max_ipr,mean_sum
0,02_classic,linear,1,1.0,0.0001,,0.0001,0.0001,0.0001,0.0001,0.0001,1.0,3084396.8193,,3084396.8193,3084396.8193,3084396.8193,3084396.8193,3084396.8193,1.0,2102827.0,,2102827.0,2102827.0,2102827.0,2102827.0,2102827.0,3084396.8194
1,02_classic,median-longest,1,10.0,840.3008299999999,2.2166588315901774,837.1195,838.1706,840.7227,841.8766,843.2287,10.0,152.94007,3.500146908043842,148.9025,150.90314999999998,152.2695,153.2943,160.6521,10.0,2.591050497237741,0.0,2.591050497237741,2.591050497237741,2.591050497237741,2.591050497237741,2.591050497237741,993.2408999999999
2,02_classic,median-longest,32,10.0,852.15524,14.143044359228702,841.6420999999999,843.5187,845.87755,853.22695,884.2955999999999,10.0,4474.207410000001,92.44005641635454,4330.8814,4425.20295,4476.2679,4529.3052,4627.4686,10.0,2.5921525984209035,4.681111291435603e-16,2.592152598420904,2.592152598420904,2.592152598420904,2.592152598420904,2.592152598420904,5326.362650000001
3,02_classic,median-longest,128,3.0,854.6878666666667,5.927444036288637,848.8050999999999,851.7022999999999,854.5994999999999,857.62925,860.659,3.0,18003.1441,337.01123761060404,17629.6075,17862.51225,18095.417,18189.9124,18284.4078,3.0,2.6173347373653946,0.0,2.6173347373653946,2.6173347373653946,2.6173347373653946,2.6173347373653946,2.6173347373653946,18857.83196666667
4,02_classic,median-random,1,10.0,853.2767100000001,4.172805952686726,848.6288,849.71495,852.8332499999999,855.681875,861.1856,10.0,136.52718,4.766790724679329,129.966,132.92882500000002,136.89555,139.07545,143.8522,10.0,2.523224877573747,0.0,2.523224877573747,2.523224877573747,2.523224877573747,2.523224877573747,2.523224877573747,989.8038900000001
5,02_classic,median-random,32,10.0,865.8574400000001,15.485396224701509,852.0771000000001,857.263,858.80475,869.803525,897.4032,10.0,4000.43763,143.13955189758823,3795.7038,3901.3035,3981.8491,4092.051575,4278.9538,10.0,2.524994157478297,0.0,2.524994157478297,2.524994157478297,2.524994157478297,2.524994157478297,2.524994157478297,4866.29507
6,02_classic,median-random,128,3.0,884.7815,9.761703989058477,875.4147,879.72465,884.0346,889.4649,894.8952,3.0,16330.922633333335,33.02531601065138,16294.0687,16317.46615,16340.8636,16349.3496,16357.835600000002,3.0,2.533289734826091,0.0,2.533289734826091,2.533289734826091,2.533289734826091,2.533289734826091,2.533289734826091,17215.704133333336
7,02_classic,median-robin,1,10.0,854.70429,6.465950714739843,847.4647,851.141225,853.1088500000001,855.198625,866.6563000000001,10.0,133.44759,4.668677736064276,129.1768,130.94835,132.7782,133.2493,145.7347,10.0,2.523224877573747,0.0,2.523224877573747,2.523224877573747,2.523224877573747,2.523224877573747,2.523224877573747,988.15188
8,02_classic,median-robin,32,10.0,859.6153899999999,7.04863360508816,852.1378,855.675725,857.22975,862.6088,875.8888000000001,10.0,3964.71256,93.5783372536044,3807.3611,3907.367425,3954.038,4025.114875,4133.5337,10.0,2.524994157478297,0.0,2.524994157478297,2.524994157478297,2.524994157478297,2.524994157478297,2.524994157478297,4824.32795
9,02_classic,median-robin,128,3.0,865.3053,17.4491685907954,853.8082,855.26625,856.7243,871.05385,885.3834,3.0,16007.547166666664,232.05184646932528,15740.4725,15931.40565,16122.3388,16141.0845,16159.8302,3.0,2.533289734826091,0.0,2.533289734826091,2.533289734826091,2.533289734826091,2.533289734826091,2.533289734826091,16872.852466666664
10,02_classic,sah,1,10.0,14281.22646,66.1376039726968,14192.6054,14228.777225,14282.98885,14310.01595,14381.399,10.0,69.91355,2.1858150477059533,67.0795,68.5423,69.68615,70.670925,73.9793,10.0,2.2540874759457457,0.0,2.2540874759457457,2.2540874759457457,2.2540874759457457,2.2540874759457457,2.2540874759457457,14351.14001
11,02_classic,sah,32,10.0,14260.04613,17.982765550323514,14232.239699999998,14244.966925,14261.908,14272.4715,14285.2754,10.0,1899.96671,41.54548639678495,1824.6587,1900.9167,1911.45285,1915.9558,1955.1806,10.0,2.254995877493404,0.0,2.254995877493404,2.254995877493404,2.254995877493404,2.254995877493404,2.254995877493404,16160.012840000001
12,02_classic,sah,128,3.0,14327.799233333331,17.98921185887042,14309.0666,14319.2293,14329.392,14337.16555,14344.9391,3.0,7602.369766666667,140.88261022487265,7518.9391,7521.040199999999,7523.1413,7644.0851,7765.0289,3.0,2.253560293041653,0.0,2.253560293041653,2.253560293041653,2.253560293041653,2.253560293041653,2.253560293041653,21930.168999999998
13,02_classic,spatial-longest,1,10.0,838.53732,36.18363431269875,817.4346,821.3655,827.01655,837.865825,938.6142,10.0,124.43336,3.0259508680743625,120.6224,122.468425,123.2509,127.18055,128.8196,10.0,2.4832253124529204,0.0,2.4832253124529204,2.4832253124529204,2.4832253124529204,2.4832253124529204,2.4832253124529204,962.97068
14,02_classic,spatial-longest,32,10.0,821.19367,3.1951242438196936,816.9178,818.215575,821.699,823.26325,826.6348,10.0,3657.18671,57.737023858727085,3567.6299,3609.96115,3687.82775,3696.394525,3718.6445,10.0,2.4848366068108523,0.0,2.4848366068108523,2.4848366068108523,2.4848366068108523,2.4848366068108523,2.4848366068108523,4478.38038
15,02_classic,spatial-longest,128,3.0,826.4384333333334,3.74408513836602,822.1961,825.01725,827.8384,828.5596,829.2808,3.0,14523.989966666668,28.86367118738205,14501.8021,14507.674,14513.5459,14535.0839,14556.6219,3.0,2.5342150082099,0.0,2.5342150082099,2.5342150082099,2.5342150082099,2.5342150082099,2.5342150082099,15350.4284
16,02_classic,spatial-random,1,10.0,676.3836799999999,8.421754574618703,669.5041,670.18475,674.0028,676.9058249999999,694.2372,10.0,87.72348000000001,3.028056283712926,84.2431,86.11677499999999,86.89695,88.232575,93.4435,10.0,2.367061319516601,0.0,2.367061319516601,2.367061319516601,2.367061319516601,2.367061319516601,2.367061319516601,764.1071599999999
17,02_classic,spatial-random,32,10.0,683.46471,15.70890086072575,673.9723,674.3435,675.0221,684.0660499999999,717.7426999999999,10.0,2475.13937,44.98856958796559,2419.2188,2444.970625,2470.2539,2496.6383750000005,2556.7716,10.0,2.3679067687784565,0.0,2.3679067687784565,2.3679067687784565,2.3679067687784565,2.3679067687784565,2.3679067687784565,3158.60408
18,02_classic,spatial-random,128,3.0,671.1261000000001,1.0101173050690508,670.5309000000001,670.54295,670.5550000000001,671.4237,672.2924,3.0,9700.0359,291.31865257523395,9416.6744,9550.6999,9684.7254,9841.716649999998,9998.7079,3.0,2.417590517700733,0.0,2.417590517700733,2.417590517700733,2.417590517700733,2.417590517700733,2.417590517700733,10371.162
19,02_classic,spatial-robin,1,10.0,675.31343,14.046543789768672,667.4248,669.6729,669.9168500000001,673.3248500000001,714.4451,10.0,87.43562,4.232793982912207,82.2762,83.98797499999999,86.4314,90.4138,94.0178,10.0,2.367061319516601,0.0,2.367061319516601,2.367061319516601,2.367061319516601,2.367061319516601,2.367061319516601,762.74905
20,02_classic,spatial-robin,32,10.0,674.18145,4.392454875819584,668.5232,670.2525250000001,674.0891999999999,678.38715,679.7571,10.0,2470.692410000001,48.45815277890016,2406.0037,2429.992175,2482.88205,2489.05985,2564.6807,10.0,2.3679067687784565,0.0,2.3679067687784565,2.3679067687784565,2.3679067687784565,2.3679067687784565,2.3679067687784565,3144.873860000001
21,02_classic,spatial-robin,128,3.0,674.6955,3.25659922158068,672.6122,672.8191,673.0260000000001,675.73715,678.4483,3.0,9999.0663,269.2952501186938,9721.4446,9869.00905,10016.5735,10137.87715,10259.1808,3.0,2.417590517700733,0.0,2.417590517700733,2.417590517700733,2.417590517700733,2.417590517700733,2.417590517700733,10673.7618
22,02_cornelbox,linear,1,10.0,7e-05,6.749485577105528e-05,0.0,0.0,0.0001,0.0001,0.0001999999999999,10.0,126.75963000000002,5.756181725578931,118.3805,121.145325,128.7409,130.47865,134.9337,10.0,30.0,0.0,30.0,30.0,30.0,30.0,30.0,126.75970000000001
23,02_cornelbox,linear,32,10.0,4e-05,6.99205898780101e-05,0.0,0.0,0.0,7.5e-05,0.0001999999999999,10.0,3511.8415400000004,41.1119032441728,3474.8398,3486.76445,3492.1384000000003,3527.615775,3594.5844,10.0,30.0,0.0,30.0,30.0,30.0,30.0,30.0,3511.8415800000002
24,02_cornelbox,linear,128,3.0,6.666666666666666e-05,5.773502691896258e-05,0.0,5e-05,0.0001,0.0001,0.0001,3.0,14037.997266666664,187.3757589986849,13831.8616,13957.9996,14084.1376,14141.0651,14197.9926,3.0,30.0,0.0,30.0,30.0,30.0,30.0,30.0,14037.997333333331
25,02_cornelbox,median-longest,1,10.0,0.03676,0.0577494627199634,0.0171,0.017775,0.0188,0.01945,0.2011,10.0,87.27032000000001,2.3956455162555983,83.1556,87.48415,87.69815,87.9215,91.4216,10.0,2.560033711414637,0.0,2.560033711414637,2.560033711414637,2.560033711414637,2.560033711414637,2.560033711414637,87.30708000000001
26,02_cornelbox,median-longest,32,10.0,0.01924,0.002783363273292,0.0171,0.0179,0.01865,0.0191,0.0268,10.0,2743.07931,272.9483528130365,2487.4271000000003,2549.7123,2644.4637,2875.6363,3229.3661,10.0,2.5613269774177847,0.0,2.5613269774177847,2.5613269774177847,2.5613269774177847,2.5613269774177847,2.5613269774177847,2743.09855
27,02_cornelbox,median-longest,128,3.0,0.0183,0.0009848857801796,0.0174999999999999,0.01775,0.018,0.0187,0.0194,3.0,10280.224033333334,86.97146536424087,10225.8201,10230.07105,10234.322,10307.426,10380.53,3.0,2.5611837654323755,0.0,2.5611837654323755,2.5611837654323755,2.5611837654323755,2.5611837654323755,2.5611837654323755,10280.242333333334
28,02_cornelbox,median-random,1,10.0,0.02019,0.0014074800176201,0.0188,0.0190499999999999,0.0197,0.021325,0.0227999999999999,10.0,87.9231,1.814486766125462,83.8118,87.98762500000001,88.3133,88.83484999999999,89.7137,10.0,2.594346305384355,0.0,2.594346305384355,2.594346305384355,2.594346305384355,2.594346305384355,2.594346305384355,87.94329
29,02_cornelbox,median-random,32,10.0,0.01966,0.0004087922591134,0.019,0.0195,0.0196,0.0198999999999999,0.0204,10.0,2506.79612,18.26108942714582,2485.78,2496.159425,2502.7881,2515.893425,2545.7224,10.0,2.595106526658681,4.681111291435603e-16,2.5951065266586806,2.5951065266586806,2.5951065266586806,2.5951065266586806,2.5951065266586806,2506.81578
30,02_cornelbox,median-random,128,3.0,0.0201,0.0007810249675906,0.0196,0.01965,0.0197,0.02035,0.0209999999999999,3.0,10323.4237,88.55318993960657,10222.9821,10290.017499999998,10357.0529,10373.6445,10390.2361,3.0,2.5950678076319336,0.0,2.5950678076319336,2.5950678076319336,2.5950678076319336,2.5950678076319336,2.5950678076319336,10323.4438
31,02_cornelbox,median-robin,1,10.0,0.02198,0.0042731201194859,0.0193,0.01985,0.0209,0.021675,0.0338,10.0,86.64801,3.142210587910648,81.9576,84.74105,86.96915000000001,88.3283,92.421,10.0,2.594346305384355,0.0,2.594346305384355,2.594346305384355,2.594346305384355,2.594346305384355,2.594346305384355,86.66999
32,02_cornelbox,median-robin,32,10.0,0.01999,0.0013494443300855,0.0191,0.019325,0.0195,0.0196,0.0234,10.0,2507.06678,34.552007546685694,2454.4078,2488.95705,2504.7071,2528.367325,2561.8789,10.0,2.595106526658681,4.681111291435603e-16,2.5951065266586806,2.5951065266586806,2.5951065266586806,2.5951065266586806,2.5951065266586806,2507.08677
